EMAG Y;Java;IVA RH65;EMAG GT;Kea
2881,151898;224,8110657;189,1049347;1514;111,2553864
2874,236461;225,293457;190,5113068;1514;111,2649765
2869,874736;224,4620514;189,5939484;1510;111,2745667
2867,496267;223,6824188;188,3217926;1510;111,2841568
2876,091387;224,572113;188,9887543;1510;111,2937469
2865,97415;225,1086731;189,3695679;1510;111,3033371
2863,429819;224,5654907;189,2255096;1510;111,3129272
2870,647207;224,4315948;188,627243;1510;111,3225174
2873,113588;226,8335724;189,0605927;1511;111,3321075
2873,584836;225,5186462;190,1757507;1517;111,3416977
2865,622935;224,485733;190,3964844;1516;111,3512955
2874,29977;229,7774506;189,8210907;1516;111,3608856
2867,217657;378,4974365;189,5483704;1516;111,3704758
2862,309255;551,5026855;189,0179901;1516;111,3800659
2867,177905;568,8200684;189,874176;1510;111,3896561
2872,224804;568,4960938;189,8259277;1514;111,3992462
2861,774866;564,791687;188,79216;1512;111,4088364
2868,089426;566,5217896;188,4405212;1511;111,4184265
2864,626877;567,6580811;189,4384613;1511;111,4280167
2869,083172;565,8329468;190,346283;1511;111,4488525
2868,603046;566,7752686;189,366745;1511;111,6161957
2859,013611;568,364624;188,4769592;1511;111,8286743
2865,078946;567,5422363;189,559433;1511;112,0411453
2875,847631;566,1242676;189,6644135;1507;112,2536163
2885,828112;567,1737061;189,0124969;1514;112,466095
2864,635616;566,5973511;190,4038391;1516;112,678566
2863,251282;566,3141479;189,7974701;1517;112,891037
2864,450112;566,664856;188,7843018;1519;113,1035156
2856,795334;568,307251;188,0612335;1517;113,3159866
2855,314418;569,5167236;187,0549469;1517;113,5284576
2859,394926;568,6454468;187,3325806;1517;113,7409363
2870,322374;566,1821289;189,6704102;1517;113,8196793
2859,951656;563,7753906;189,5630798;1517;113,639061
2867,208303;562,4233398;190,7021332;1517;113,4518204
2876,288016;563,947998;189,726593;1518;113,2645798
2869,450255;562,8978882;186,8958893;1515;113,0773392
2853,307569;342,5903015;188,1827393;1513;112,8900986
2867,032964;227,9485168;187,7870941;1513;112,702858
2867,840433;229,0926514;188,300827;1511;112,5156174
2868,178519;346,8519897;190,7765198;1516;112,3283844
2867,449782;353,9711914;191,2993622;1516;112,1411438
2870,21307;1004,048096;191,5903625;1516;111,9591217
2868,526398;7629,378906;189,6734009;1516;111,8878098
2872,267325;12960,56738;188,1127014;1516;111,8610306
2872,271718;8993,703125;190,2953491;1516;111,8342438
2870,476399;7597,851563;190,0124359;1516;111,8074646
2863,76218;7558,369141;190,1902618;1517;111,7806854
2878,106839;7536,576172;188,2519836;1515;111,7541504
2874,214983;7489,352539;188,0153503;1513;111,7571335
2871,292276;7442,916992;188,5772095;1512;111,7804565
2854,199226;7468,007813;189,4475403;1505;111,8037796
2868,731426;7493,834961;192,3789368;1516;111,827095
2869,00822;7482,439453;190,6968842;1513;111,8504181
2856,504882;7464,615234;189,1052856;1509;111,8737411
2860,442193;7471,143555;189,2529449;1506;111,8970642
2873,27232;7468,422363;189,1436157;1507;111,9203796
2869,992121;7393,352539;192,1027374;1510;111,9437027
2870,661705;7440,652344;191,4586029;1510;111,9670258
2864,423906;7442,041504;188,1189728;1510;112,0019073
2859,887527;7397,54834;188,9034424;1509;112,1138916
2865,450046;7454,418457;190,1124573;1509;112,2401123
2862,032563;7473,167969;189,9990845;1510;112,366333
2881,000328;7441,540527;189,7971649;1511;112,4925537
2867,382935;7414,619629;192,3365173;1511;112,6187744
2868,821156;7450,922363;190,3617096;1514;112,7449951
2859,411747;7457,791016;185,8684082;1513;112,8712158
2870,470352;7445,637695;187,3504028;1508;112,9974365
2871,06228;7440,686035;188,9870758;1508;113,1236572
2866,897107;7435,75293;189,4512329;1508;113,2498779
2868,551841;7430,819824;190,1574097;1508;113,3760986
2873,903486;7426,532227;190,3265991;1508;113,5023193
2868,52739;7430,391113;187,7553101;1512;113,62854
2858,609994;7434,382324;186,0063324;1517;113,7547607
2863,635542;7446,325684;187,8961639;1513;113,8809814
2865,547171;7465,671875;189,9615479;1504;114,0072021
2856,724605;7470,743652;192,8105927;1508;114,1334229
2864,077883;7425,54541;192,3458099;1511;114,2494583
2857,497686;7455,705078;188,0476074;1518;114,2335739
2852,041355;7469,901855;185,8434601;1520;114,1772003
2873,290879;7465,052734;187,3899841;1522;114,1208267
2860,012358;7418,241211;190,3503113;1522;114,0644455
2856,124372;7451,05127;191,0222931;1522;114,0080719
2867,799075;7465,353516;190,721756;1520;113,9516983
2861,927171;7440,406738;189,7400055;1524;113,8702469
2865,829544;7451,94043;190,0943604;1529;113,722084
2868,889807;7471,528809;190,6414948;1525;113,5703125
2852,280404;7606,661133;190,1677246;1525;113,418541
2857,769904;7673,377441;189,843277;1526;113,266777
2870,235507;7688,345703;189,7285767;1509;113,1150055
2865,145895;7683,598145;189,8867645;1506;112,9632339
2868,737367;7647,490723;189,7401428;1505;112,8114624
2861,796465;7664,305664;189,3862305;1507;112,6596909
2850,570862;7672,798828;189,2865295;1507;112,5079193
2857,408905;7666,625;189,8662262;1509;112,3561478
2869,194108;7666,291016;189,986496;1512;112,2043762
2867,832355;7667,323242;189,4627686;1505;112,0960617
2851,340941;7666,748535;189,5543365;1507;112,0327682
2851,850764;7634,672363;189,8023376;1503;111,9694824
2858,460086;7678,666016;189,7142029;1505;111,9061966
2870,286143;7692,616699;189,8651276;1510;111,8487091
2853,138573;7627,137207;189,9994659;1502;111,8898239
2858,950442;7675,487305;190,2718353;1502;111,9663925
2857,56049;7690,821777;190,6621552;1502;112,0429535
2863,653384;7686,403809;190,114502;1502;112,1195221
2873,656518;7687,541992;189,3175659;1502;112,1960907
2871,237401;7657,83252;188,6374207;1508;112,2726517
2859,463315;7652,087891;189,2969208;1505;112,3492203
2858,513826;7603,348145;189,9337311;1501;112,4257813
2876,146405;7652,347168;189,1409149;1504;112,5023499
2856,422384;7669,021484;189,2986298;1504;112,5750198
2858,249367;7651,639648;190,2041168;1506;112,5927277
2859,364939;7670,896484;190,3436127;1505;112,5926743
2874,464563;7681,291504;189,5594177;1504;112,5926285
2870,358374;7672,45166;189,184967;1504;112,5925751
2859,989431;7642,075195;189,170578;1504;112,5925217
2852,597478;7666,490723;189,4359894;1507;112,5924683
2855,109637;7680,09375;190,2120209;1508;112,5924149
2855,484061;7630,686523;189,8290405;1508;112,5923615
2872,349685;7667,566895;188,9046936;1509;112,592308
2863,631578;7671,835449;188,9604492;1507;112,5922623
2860,545715;7663,053711;189,0244293;1515;112,5822754
2850,757485;7683,941406;189,6569672;1513;112,523941
2860,60164;7686,552734;189,5630798;1507;112,4591751
2857,619903;7666,619629;189,7369995;1505;112,3944092
2856,0712;7641,980469;190,8038635;1503;112,3296356
2855,797871;7694,210449;190,9015503;1502;112,2648697
2851,430156;7695,399414;189,9129181;1507;112,2001038
2870,541099;7638,117676;190,0866089;1506;112,1353378
2858,655995;7674,036621;190,7141571;1506;112,0705643
2857,601406;7705,129395;189,8285675;1507;112,0057983
2856,167826;7682,842773;189,2196045;1507;111,9410324
2870,463843;7615,089355;189,2033844;1508;111,8762665
2867,10364;7619,975586;188,601059;1507;111,8114929
2871,538345;7648,152344;189,249176;1508;111,746727
2858,434829;7610,250977;190,0085602;1507;111,6819611
2864,457974;7647,129883;189,155838;1510;111,6171951
2871,505982;7701,780762;189,7120056;1507;111,5524216
2861,871703;7691,722168;190,5114136;1507;111,4876556
2854,192601;7666,19873;190,0037231;1509;111,4228897
2856,713661;7676,067871;189,7406616;1506;111,3581161
2862,829452;7670,973633;189,4993439;1536,965174;111,2933502
2849,473008;7630,22168;189,152298;1504;111,2326279
2851,196827;7626,228027;189,7027283;1509;111,2341537
2851,464214;7638,298828;189,9210815;1508;111,2568741
2861,179565;7649,891602;189,8712616;1508;111,2795944
2862,988536;7657,058105;190,2808228;1508;111,3023071
2875,830129;7661,630371;190,1382294;1508;111,3250275
2861,34381;7631,285156;189,4668579;1519,657649;111,3477478
2855,105912;7626,39209;189,1059418;1889,884657;111,3704681
2863,523477;7685,967285;189,1338348;2075,483841;111,3931885
2865,00385;7693,359375;189,1118927;2584,861948;111,4159012
2864,245066;7647,724609;189,9207153;2835,68565;111,4386215
2849,22483;7649,01123;189,4829407;2909,643044;111,4613419
2855,714677;7674,192383;189,3365173;2909,645851;111,4840622
2870,634555;7658,19873;190,5509338;3013,667915;111,5067749
2873,610981;7667,785645;189,6283569;3113,68565;111,5294952
2859,806399;7689,018555;188,7025146;3244,026123;111,5522156
2850,236708;7700,54248;189,4091492;3119,6558;111,5749359
2869,208558;7620,333496;188,8742218;2365,309723;111,5976563
2865,523951;7657,464355;189,040741;2075,700577;111,620369
2854,434398;7685,861816;189,8936005;2094,513687;111,6426697
2861,58274;7633,996582;188,4031677;2028,849831;111,6359253
2864,590571;7644,135742;188,1611328;2084,662941;111,6114349
2856,193707;7685,408203;189,7244873;2094,660774;111,5869522
2860,134984;7686,833984;190,5647583;2091,643044;111,5624619
2847,839993;7654,55957;190,7003632;2084,675697;111,5379715
2849,420705;7688,193359;189,3379364;2086,657967;111,5134888
2850,925117;7680,844238;189,6959534;2093,650826;111,4889984
2860,281909;7633,128906;191,1338196;2086,677868;111,4645081
2861,976886;7665,79834;189,7998047;2106,6558;111,4400177
2850,603626;7669,898926;189,5996094;2096,672897;111,415535
2859,526198;7664,267578;189,4963684;2088,660774;111,3910446
2861,730852;7675,689453;189,1788177;2087,662941;111,3662949
2855,263386;7689,974121;189,6928406;2072,680679;111,3385162
2865,508434;7695,616699;188,8700256;2170,648018;111,3098602
2858,664449;7633,366699;189,7179565;2644,677868;111,2812119
2855,664258;7681,310059;191,296402;2351,660774;111,2525558
2887,611612;7697,457031;190,6124115;2087,662941;111,2247391
2879,438239;7639,437988;190,0834503;2089,680679;111,2163239
2897,447212;7672,730469;188,7888641;2095,643044;111,2160339
3148,813906;7683,842773;189,4293213;2101,675697;111,215744
3160,34448;7679,859863;190,3217468;2101,667915;111,2154541
3153,789317;7681,673828;190,6042938;2083,650826;111,2151718
3159,610213;7681,031738;190,278183;6869,672897;111,2148819
3173,172656;7670,400391;189,7380981;8269,227966;111,214592
3153,739681;7621,038086;189,9822693;9726,73259;111,2143021
2947,39647;7663,914063;189,865387;8934,471962;111,2140121
3009,899507;7682,055176;189,3743439;8662,453743;111,2137299
2933,905062;7656,517578;188,9948578;7619,487381;111,2134399
2839,333104;7687,561035;188,4345551;7521,488571;111,21315
2843,333906;7678,073242;189,5739441;7532,491379;111,2128601
2866,54805;7681,177246;191,1960297;7525,484573;111,2125702
3133,40929;7648,684082;189,0907135;7521,502304;111,2122879
3318,952125;7677,194336;188,428894;7445,487595;111,211998
3290,900521;7676,485352;191,1273346;3350,602066;111,2117081
3039,75646;7632,219727;191,074707;2128,49379;111,2114182
2845,858476;7658,148438;187,7267303;2116,496597;111,2111282
2862,839527;7676,541016;186,8168488;2118,488815;111,2108383
2851,15411;7681,312012;187,7616577;2108,501572;111,2244797
2837,008971;7656,032715;188,3040771;2108,49379;111,3187637
2854,191826;7686,060059;190,1200104;2105,49379;111,4260101
2845,462407;7707,523926;190,3416901;2115,486649;111,5332489
2849,923499;7702,490234;189,4615479;2125,49379;111,6404953
2915,097796;7693,758789;189,641983;2124,501572;111,7477341
3131,956666;7687,129395;190,855896;2124,49379;111,8549805
3221,112023;7664,745117;191,9126129;2440,496597;111,9622192
3159,60832;7637,443848;190,1975098;2329,488815;112,0694656
3125,521625;7654,82666;188,7644806;7155,758987;112,1767044
3109,811589;7650,409668;190,2021484;8770,494522;112,2839508
3071,955694;7586,894531;190,6451721;8768,512253;112,3911896
3041,458254;7668,775391;189,9537201;8768,502518;112,498436
2975,59866;7694,269531;191,1226196;8768,512253;112,5086823
2937,814664;7689,524414;189,9848785;8766,512466;112,4131699
3025,483937;7687,235352;186,6326294;8754,517227;112,3176117
2854,30487;7693,14502;187,8919373;8747,504471;112,2220535
2870,1667;7690,486328;189,5775146;8752,517227;112,1264877
2858,825262;7661,09668;189,5108795;8742,504471;112,0309296
2861,432132;7676,394043;189,1281433;8737,522202;111,9353638
2865,407655;7666,01416;188,3687439;8723,522202;111,8398056
2855,35093;7624,841797;189,2151337;8721,532158;111,7442474
3312,002087;7652,189941;189,6115112;8723,51442;111,6486816
3036,179048;7679,472656;189,1747437;8823,512253;111,5531235
3013,156205;7667,94043;190,0332336;8706,51442;111,4575577
2991,525735;7658,079102;190,8141785;8706,527184;111,3635406
2988,431671;7686,822266;192,4668121;8713,515495;111,3415604
2995,707971;7686,661621;191,0485535;8720,515495;111,3589554
2998,483013;7632,654785;187,0049591;15555,51723;111,3763504
2990,066985;7666,374023;186,6980133;11979,49452;111,3937531
3313,762369;7698,746094;188,1315613;11851,52718;111,4111481
3498,104337;7648,80957;188,451828;11835,51442;111,4285507
3059,819896;7664,871582;187,6770477;11835,5222;111,4459457
3061,132668;7671,560059;186,1170197;11805,50945;111,4633484
2919,792806;7623,463379;185,608551;10874,5222;111,4807434
2851,762453;7584,610352;185,6394653;10733,18607;111,4891434
2843,849405;7644,835449;190,1863098;10558,49947;111,4851685
2885,923209;7690,597656;191,5632935;12076,66865;111,4811249
2909,477525;7640,12207;188,5536957;12072,65156;111,4770737
2845,096429;7698,377441;189,0642242;12413,90747;111,4730225
2858,909178;7704,638184;189,0793457;12404,90747;111,4689713
2846,392977;7687,29834;187,9808502;12113,33315;111,46492
2855,211873;7689,0625;188,0460663;12113,32039;111,4608688
2881,391369;7687,87793;188,3957062;9511,328171;111,4568253
2859,486666;7649,475586;189,4658051;9107,305466;111,452774
2849,261686;7619,734375;189,238678;9189,323196;111,4487228
2854,81475;7662,286621;188,691864;9116,325363;111,4446716
2858,473721;7665,62793;189,9344025;9054,325363;111,4409866
2852,533719;7619,52832;190,4507599;9032,315414;111,4542007
2859,551515;7651,220703;188,8004913;9013,305435;111,4766312
2865,023472;7694,858398;188,2389526;9019,290543;111,499054
2854,094204;7702,91748;188,6156921;9013,328171;111,5214767
2860,069928;7648,633789;188,5516052;9009,320389;111,5438995
2868,144031;7679,5;189,0757446;9095,320389;111,5663223
2881,986761;7666,604004;189,7834778;9142,323196;111,5887451
2860,501649;7634,343262;189,496109;9037,320389;111,6111755
2866,740269;7680,919434;189,0740204;9031,328171;111,6335983
2862,805872;7679,027344;189,63237;9029,320389;111,6560211
2869,15042;7676,870605;189,3534698;9010,328171;111,6784439
2859,79287;7687,48877;189,1398163;9028,315414;111,7008667
2848,576019;7694,874023;189,3624573;9039,323196;111,7232895
2849,140364;7691,65918;188,7736206;9105,325363;111,7457199
2847,218135;7624,563965;189,0175934;9069,323196;111,7681427
2866,251468;7664,226563;189,3884277;9069,320389;111,7905655
2867,324087;7661,517578;188,443573;9007,313248;111,8195496
2861,97817;7628,396973;189,4776306;9010,315414;111,9009323
2870,995176;7669,206055;190,7406006;9016,328171;111,9936523
2858,959695;7690,875;189,1766357;9066,320389;112,08638
2856,142573;7684,256836;187,5168457;9023,307571;112,1791
2855,496863;7642,004395;188,202179;9076,305466;112,2718201
2858,261901;7648,184082;188,9455719;9013,29335;112,3645477
2859,229999;7669,331543;189,0156097;9000,320389;112,4572678
2871,174091;7618,567871;189,1070557;8996,328171;112,5499878
2862,26658;7653,041992;189,547348;8991,320389;112,6427155
2857,192002;7687,383789;189,2698212;8981,323196;112,7354355
2852,048391;7694,354492;189,3203278;9050,320389;112,8217163
2854,765528;7680,870605;189,6565094;9050,328171;112,7416687
2861,764556;7701,963867;189,7299042;9051,315414;112,588562
2864,173913;7662,935059;189,1372375;9050,320389;112,435463
2868,607074;7623,215332;189,499115;9002,323196;112,2823563
2863,836523;7678,95459;189,6191406;7498,315414;112,1292496
2876,299288;7672,637207;188,7537079;7564,328171;111,9849472
2868,770334;7601,32959;188,8795929;7609,056717;111,9110107
2852,795579;7642,488281;189,955719;8029,056717;111,8523026
2854,577589;7672,428223;190,1630096;7910,64875;111,7935867
2869,523772;7671,150879;190,2189636;7904,681412;111,7348785
2861,003749;7676,542969;190,0450134;3693,389328;111,6761627
2861,080573;7679,472168;188,7819214;2093,6558;111,6174545
2855,035932;7682,902344;189,3395233;2095,667915;111,5587463
2853,876933;7626,988281;189,7085876;2112,660774;111,5000305
2854,491791;7662,404785;188,7501068;2396,240051;111,4413223
2867,316543;7674,311035;189,2211914;2394,247833;111,3826065
2864,014017;7650,74707;189,1351318;2108,677868;111,3238983
